2021-12-22 16:29:08: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 16:30:09: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 16:30:17: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 16:36:32: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 16:37:09: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 16:37:17: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 17:10:47: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 17:11:29: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 17:11:37: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 17:27:02: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 17:27:41: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 17:27:48: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 17:44:35: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 17:45:13: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 17:45:20: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 17:58:09: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 17:58:54: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 17:59:01: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 18:24:23: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 18:24:59: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-22 18:25:07: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-24 10:01:03: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-24 10:01:52: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-24 10:02:02: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
